OBJID,RA,DEC,REDSHIFT,REDSHIFT_ERR,LOG_MASS,SFR,UMAG,GMAG,RMAG,IMAG,ZMAG,U_ABSMAG,G_ABSMAG,R_ABSMAG,I_ABSMAG,Z_ABSMAG,PETRO_R50,V_DISP,V_DISP_ERR,D4000,D4000_ERR,OII_FLUX,OII_FLUX_ERR,OIII_FLUX,OIII_FLUX_ERR,HBETA_FLUX,HBETA_FLUX_ERR,HALPHA_FLUX,HALPHA_FLUX_ERR,HDELTA_FLUX,HDELTA_FLUX_ERR,NII_FLUX,NII_FLUX_ERR,NaD_ABS_FLUX,LUMINOSITY_DISTANCE
587738568175583427,205.98400,13.201800,0.18762300,2.2819300e-05,10.869400,17.5299,18.044900,16.864500,16.324400,16.176400,15.981100,-20.796000,-21.928800,-22.470600,-22.600200,-22.782800,1.5167700,136.50400,13.838900,1.3071300,0.011876900,42.614600,4.6902800,33.206200,2.8916600,27.564500,2.9768700,161.86700,3.9210000,6.48677,2.24392,134.86200,3.8318000,2.4600600,2.81327e+27
587738568712192179,205.37900,13.659400,0.064419700,8.5649700e-06,9.6301900,0.592023,18.121800,17.070200,16.611300,16.398200,16.116200,-18.224500,-19.228500,-19.689100,-19.883800,-20.153100,1.6158500,46.489000,16.650900,1.3394300,0.024575700,46.324500,3.4715300,24.861700,1.7738700,50.527200,1.8493800,202.40500,2.7021500,11.9756,2.05966,65.871900,1.8174800,1.0999700,8.91922e+26
587736809911156815,205.36400,15.011800,0.11416500,2.3707500e-05,10.927900,6.02560,18.947300,17.359000,16.560900,16.043400,15.796600,-18.711800,-20.255200,-21.056000,-21.555300,-21.789600,2.2259500,201.94000,20.508600,1.4034000,0.040184200,26.051400,5.9439200,42.304400,4.0200100,17.743800,1.6315100,145.74400,3.2970400,1.12821,1.64751,276.62200,4.4372700,2.6285100,1.63508e+27
587736809911746655,206.62600,14.848800,0.12559800,1.2410300e-05,10.803700,4.84695,18.748000,16.691200,16.124500,15.932500,15.523900,-19.136400,-21.147000,-21.715700,-21.889400,-22.285400,2.8961900,132.40600,14.741100,1.3849500,0.031120600,13.984400,2.6984700,7.3309100,1.8458200,21.256600,1.8828000,119.47200,2.7886200,3.93636,1.75148,44.395200,2.1568100,2.5188500,1.81228e+27
587736807227850909,207.60000,12.769700,0.12773500,1.0356200e-05,10.640900,7.92021,18.409900,17.036000,16.480300,16.309600,16.097600,-19.515400,-20.842000,-21.399300,-21.551500,-21.750900,2.0928300,97.206400,21.311100,1.2884800,0.026022400,30.279000,3.7956600,25.096700,2.7807700,44.550400,2.5782300,271.37200,4.3742600,10.3014,2.28137,120.01500,3.0224200,1.5753400,1.84566e+27
587738569250701533,209.28300,13.690100,0.11850900,2.2342200e-05,10.790200,5.44526,18.078200,16.607700,15.921100,15.598300,15.339600,-19.671800,-21.094300,-21.782500,-22.086800,-22.332800,2.2753700,147.86800,11.747300,1.4249400,0.023673500,26.955900,4.7875600,20.339000,2.7923800,23.151400,2.4592600,137.93400,4.5625300,4.24801,2.34543,87.799400,4.2814100,2.3869600,1.70213e+27
587738568176763115,208.77300,12.803400,0.20308900,3.5101700e-05,10.925600,1.22253,18.671300,17.075200,16.453200,16.255300,16.016200,-20.361100,-21.909800,-22.533400,-22.712800,-22.939300,1.1554900,208.04200,15.652100,1.4687800,0.018379000,16.522300,4.9446200,35.387100,3.4461200,20.427900,3.3317500,45.172300,4.2433900,-1.36972,2.50711,50.548500,7.2440700,1.9420900,3.07295e+27
587738569250046135,207.75400,13.773200,0.020539600,1.1424500e-05,9.1802600,0.0345427,15.694400,14.811600,14.504900,14.388500,14.532300,-18.099100,-18.935400,-19.244200,-19.342300,-19.185900,6.9419700,60.614700,23.013800,1.3892200,0.036775000,0.0000000,-0.77391000,24.145300,2.0372700,27.502900,1.9821500,96.357600,2.1486100,5.96220,2.31015,19.517000,1.3340100,0.68208900,2.75445e+26
587738570860789971,208.19300,14.992500,0.018945000,6.7796600e-06,8.7496900,0.193045,16.606800,15.717000,15.443000,15.349100,15.154400,-17.009700,-17.852100,-18.127800,-18.203300,-18.385400,4.6973200,0.0000000,259.55400,1.2177300,0.027295400,0.0000000,-0.71312800,56.629600,2.4126600,46.500700,2.2094600,141.10000,2.4352800,14.0691,2.22656,24.226000,1.4391400,-0.17171700,2.53757e+26
587738569250242730,208.23600,13.795600,0.074803100,9.3386900e-06,10.358300,8.39589,18.859100,17.263900,16.572300,16.242700,15.965800,-17.826200,-19.375000,-20.068700,-20.379900,-20.644200,1.2936700,187.30000,13.901100,1.3357600,0.025264700,55.268800,4.7258200,45.358600,2.6671300,43.523600,2.4743900,419.29700,4.8406000,3.82986,2.50136,407.18100,4.3520700,5.1479800,1.04324e+27
587737825674723538,119.36900,47.718900,0.20578100,2.9258300e-05,10.645800,3.15271,18.310000,17.004700,16.528200,16.481700,16.233200,-20.748100,-22.010400,-22.490600,-22.519300,-22.755400,1.1971100,136.82900,15.355500,1.3001000,0.015756400,0.092664300,4.1697300,5.9630300,3.1886700,6.1411100,2.2610700,0.0000000,-0.70483300,3.41034,1.94456,23.085000,5.0769800,1.0204300,3.11855e+27
587737808496361708,122.64700,50.699900,0.18342700,2.3802000e-05,10.938500,2.26205,18.442400,16.991800,16.382200,16.160600,15.911200,-20.330300,-21.742200,-22.357500,-22.562000,-22.799400,1.2959600,205.46700,12.540900,1.4263400,0.018730400,28.172200,7.4367900,19.919900,3.5886000,13.890000,3.7019700,100.29400,5.2870300,5.03427,3.39984,168.91400,5.3753300,3.1084700,2.74349e+27
587737826213101850,121.90900,50.815600,0.18571700,1.2614400e-05,10.937900,27.4610,18.034800,16.885100,16.374100,16.222300,15.989700,-20.748500,-21.870100,-22.392200,-22.529100,-22.750900,2.1404500,169.32200,24.190400,1.3540200,0.025728200,23.168100,3.6811800,15.192500,2.6493600,27.968300,2.9063000,176.78200,3.7960000,2.50586,2.43123,84.416000,3.0808700,2.6668500,2.78154e+27
587737809569448189,120.41900,49.808600,0.092273100,1.6892700e-05,10.407000,1.16312,18.976500,16.987100,16.308900,16.002600,15.712100,-18.185000,-20.131700,-20.813700,-21.102200,-21.380400,1.3377400,93.179500,11.699300,1.4714500,0.033062200,25.797200,6.9350000,23.724600,3.5630200,38.903900,3.4050300,186.73200,4.0651400,13.6657,4.19201,111.46600,3.7579900,2.0864200,1.30239e+27
587737826749579539,120.37600,50.319300,0.10073800,9.3180300e-06,10.330500,2.34044,18.422000,17.248400,16.684000,16.396300,16.096300,-18.941300,-20.072900,-20.641400,-20.911500,-21.199200,1.7483100,152.66600,21.406700,1.2867300,0.032662100,28.838100,4.0966600,19.365100,2.4061500,48.543300,2.5696000,222.27400,3.4860700,3.62739,2.53630,86.327400,3.5998000,1.9491600,1.43000e+27
587737810645614838,124.35900,54.891900,0.11647600,9.8663600e-06,10.781100,22.0904,22.142600,17.180300,16.502900,16.203200,15.751900,-15.379600,-20.475300,-21.159200,-21.442300,-21.881700,1.8216000,126.59100,20.817400,1.3099500,0.025551400,22.199300,4.0715900,17.662500,2.5645700,41.435500,2.3462700,344.95800,4.9307100,10.0892,2.23687,169.60100,3.8183800,2.7264700,1.67071e+27
