OBJID,RA,DEC,REDSHIFT,REDSHIFT_ERR,LOG_MASS,SFR,UMAG,GMAG,RMAG,IMAG,ZMAG,U_ABSMAG,G_ABSMAG,R_ABSMAG,I_ABSMAG,Z_ABSMAG,PETRO_R50,V_DISP,V_DISP_ERR,D4000,D4000_ERR,OII_FLUX,OII_FLUX_ERR,OIII_FLUX,OIII_FLUX_ERR,HBETA_FLUX,HBETA_FLUX_ERR,HALPHA_FLUX,HALPHA_FLUX_ERR,HDELTA_FLUX,HDELTA_FLUX_ERR,NII_FLUX,NII_FLUX_ERR,NaD_ABS_FLUX,LUMINOSITY_DISTANCE
588017703997931661,165.20473,12.129594,0.025787260,4.66250e-06,8.7457533,0.117800,17.958500,16.739800,16.342500,16.187700,16.019200,-16.339200,-17.509700,-17.908500,-18.044800,-18.200800,1.8261800,51.0429,16.2737,1.13029,0.0185720,184.106,7.29055,171.716,3.61179,145.568,3.09950,546.932,5.61087,37.2586,2.77542,103.125,2.22255,0.573514,3.47179e+26
587738194512642124,146.31779,66.547279,0.18991916,3.69274e-05,10.974888,0.625364,18.569100,17.197100,16.542000,16.275300,15.997200,-20.236200,-21.597400,-22.272100,-22.527500,-22.796800,1.4390400,179.750,12.7080,1.64843,0.0384596,-3.25173,20.4274,7.96317,5.92590,-2.03485,1.86766,0.906024,1.66507,0.554192,1.81717,18.0906,5.22107,2.00312,2.85157e+27
587742609729913067,221.41840,13.306044,0.11457826,2.04586e-05,10.397748,3.84905,17.780000,16.700000,16.215600,16.039100,15.885300,-19.890700,-20.923300,-21.409400,-21.567500,-21.708600,2.2704100,63.8299,11.3385,1.36832,0.0265639,16.5599,3.02288,-5.16678,3.29384,26.6559,1.89880,136.600,6.85779,7.66348,2.01977,46.2163,3.91108,1.83664,1.64145e+27
587742013287039161,192.65701,21.847664,0.075551920,2.61285e-05,10.183562,0.179712,18.520000,17.282800,16.616100,16.286900,16.050000,-18.184900,-19.377800,-20.047600,-20.358800,-20.583200,1.9445700,81.8796,12.4471,1.49783,0.0484458,3.80673,3.07904,4.31211,1.76497,8.54132,1.74006,31.9902,1.71544,3.38440,2.00941,15.2848,1.54699,2.04144,1.05423e+27
587728308030865454,199.52321,31.568970,0.049936399,1.90531e-05,10.302995,0.553003,18.829500,17.421700,16.536800,16.124500,16.188400,-16.939200,-18.301200,-19.188500,-19.582500,-19.506000,2.5475900,76.3836,9.69639,1.52871,0.0378787,14.8746,3.51672,4.81877,1.73839,17.2397,1.62140,73.6830,2.26418,2.96263,1.95205,32.3047,1.99113,2.54043,6.84299e+26
587739706885800396,244.88133,15.476215,0.20796946,2.16645e-05,11.055801,14.0867,18.311800,17.061500,16.490900,16.213800,15.927100,-20.769300,-21.978200,-22.553400,-22.813000,-23.087400,2.4038000,850.000,-3.00000,1.37515,0.0360947,21.9778,3.76286,0.706876,2.34968,15.8233,3.01259,114.167,4.02054,-4.80464,2.24551,58.3167,3.29357,2.36462,3.15570e+27
587736477590487122,215.95979,10.359125,0.11891265,2.30357e-05,11.349089,0.203925,17.494800,15.733200,14.979500,14.633200,14.344200,-20.262100,-21.976900,-22.732500,-23.060400,-23.336800,3.0669400,254.694,9.74397,1.99559,0.0317977,3.09552,2.54939,5.14603,2.12117,14.7417,5.83912,13.4675,6.76650,11.6009,5.54183,6.04249,2.66470,3.89148,1.70838e+27
587741816780751022,145.96275,19.925028,0.13019450,2.79743e-05,11.150455,0.230933,18.444800,16.692900,15.917500,15.537700,15.254700,-19.525500,-21.229900,-22.006900,-22.368200,-22.638700,1.6921500,241.335,11.0479,1.93131,0.0386841,-1.27588,3.86890,1.19827,2.30142,0.891056,1.66611,2.00588,1.59432,-0.196744,1.64956,3.05724,2.69161,3.64001,1.88417e+27
587722983903789353,217.12086,0.45409933,0.13428605,8.75700e-06,10.546291,2.97771,18.236300,17.102000,16.590800,16.384400,16.160200,-19.802900,-20.892600,-21.406800,-21.595200,-21.806900,1.7654400,87.5695,11.9920,1.33639,0.0201140,27.8092,2.61854,18.2514,2.10518,48.0525,2.07259,186.853,3.03763,10.4232,1.82175,85.2629,2.37600,1.55317,1.94848e+27
588017721713164450,167.72589,41.749722,0.075781524,1.06723e-05,10.125623,1.17586,17.902800,16.711800,16.175900,15.927900,15.685600,-18.813800,-19.956800,-20.494200,-20.723700,-20.953400,2.6791100,44.3416,17.4150,1.32845,0.0418297,12.1926,3.21267,6.77009,1.81384,29.1345,2.04800,131.702,2.30455,8.79536,2.46022,42.6472,1.64258,2.38694,1.05760e+27
